Per,Nat,Pokemon,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Tier,Ability I,Ability II,Hidden Ability,Mass,LK/GK,EV Worth,EXPV,Color,Hatch,Gender,Egg Group I,Egg Group II,Catch,EXP,Evolve,Joh,Hoe,Sin,Un
455,431,Glameow,49,55,42,42,37,85,310,Normal,,NU,Limber,Own Tempo,Keen Eye,3.9,20,1 Spe,71,Gray,5120,F (75%),Field,,190,800000,,,,76,
456,432,Purugly,71,82,64,64,59,112,452,Normal,,NU,Thick Fat,Own Tempo,Defiant,43.8,60,2 Spe,183,Gray,,F (75%),Field,,75,800000,Lv. 38,,,77,
386,433,Chingling,45,30,50,65,50,45,285,Psychic,,NU,Levitate,,,0.6,20,1 SpA,74,Yellow,6400,Neutral,-,,120,800000,,,,82,
457,434,Stunky,63,63,47,41,41,74,329,Poison,Dark,NU,Stench,Aftermath,Keen Eye,19.2,40,1 Spe,79,Purple,5120,Neutral,Field,,225,1000000,,,,84,
458,435,Skuntank,103,93,67,71,61,84,479,Poison,Dark,NU,Stench,Aftermath,Keen Eye,38,60,2 HP,209,Purple,,Neutral,Field,,60,1000000,Lv. 34,,,85,
459,436,Bronzor,57,24,86,24,86,23,300,Steel,Psychic,NU,Levitate,Heatproof,Heavy Metal,60.5,80,1 Def,72,Green,5120,None,Mineral,,255,1000000,,,,88,
460,437,Bronzong,67,89,116,79,116,33,500,Steel,Psychic,OU,Levitate,Heatproof,Heavy Metal,187,100,1 Def/1 SpD,188,Green,,None,Mineral,,90,1000000,Lv. 33,,,89,
213,438,Bonsly,50,80,95,10,45,10,290,Rock,,NU,Sturdy,Rock Head,Rattled,15,40,1 Def,68,Brown,5120,Neutral,-,,255,1000000,,,,92,
139,439,Mime Jr.,20,25,45,70,90,60,310,Psychic,,NU,Soundproof,Filter,Technician,13,40,1 SpD,78,Pink,6400,Neutral,-,,145,1000000,,,,94,
126,440,Happiny,100,5,5,15,65,30,220,Normal,,NU,Natural Cure,Serene Grace,Friend Guard,24.4,40,1 HP,255,Pink,10240,F (100%),-,,130,800000,,,,96,
461,441,Chatot,76,65,45,92,42,91,411,Normal,Flying,NU,Keen Eye,Tangled Feet,Big Pecks,1.9,20,1 Atk,107,Black,5120,Neutral,Flying,,30,1059860,N,,,102,
462,442,Spiritomb,50,92,108,92,108,35,485,Ghost,Dark,UU,Pressure,,Infiltrator,108,100,1 Def/1 SpD,168,Purple,7680,Neutral,Amorphous,,100,1000000,N,,,108,
463,443,Gible,58,70,45,40,45,42,300,Dragon,Ground,NU,Sand Veil,,Rough Skin,20.5,40,1 Atk,67,Blue,10240,Neutral,Monster,Dragon,45,1250000,,,,109,
464,444,Gabite,68,90,65,50,55,82,410,Dragon,Ground,NU,Sand Veil,,Rough Skin,56,80,2 Atk,144,Blue,,Neutral,Monster,Dragon,45,1250000,Lv. 24,,,110,
465,445,Garchomp,108,130,95,80,85,102,600,Dragon,Ground,Uber,Sand Veil,,Rough Skin,95,80,3 Atk,218,Blue,,Neutral,Monster,Dragon,45,1250000,Lv. 48,,,111,
173,446,Munchlax,135,85,40,40,85,5,390,Normal,,NU,Pickup,Thick Fat,Gluttony,105,100,1 HP,94,Black,10240,M (87.5%),-,,50,1250000,,,,112,
466,447,Riolu,40,70,40,35,40,60,285,Fighting,,NU,Steadfast,Inner Focus,Prankster,20.2,40,1 Atk,72,Blue,6400,M (87.5%),-,,75,1059860,,,,115,
467,448,Lucario,70,110,70,115,70,90,525,Fighting,Steel,OU,Steadfast,Inner Focus,Justified,54,80,1 Atk/1 SpA,204,Blue,,M (87.5%),Field,Human-Like,45,1059860,Morn/Day Friendship,,,116,
468,449,Hippopotas,68,72,78,38,42,32,330,Ground,,UU,Sand Stream,,Sand Force,49.5,60,1 Def,95,Brown,7680,Neutral,Field,,140,1250000,,,,122,
469,450,Hippowdon,108,112,118,68,72,47,525,Ground,,OU,Sand Stream,,Sand Force,300,120,2 Def,198,Brown,,Neutral,Field,,60,1250000,Lv. 34,,,123,
470,451,Skorupi,40,50,90,30,55,65,330,Poison,Bug,NU,Battle Armor,Sniper,Keen Eye,12,40,1 Def,114,Purple,5120,Neutral,Bug,Water 3,120,1250000,,,,127,
471,452,Drapion,70,90,110,60,75,95,500,Poison,Dark,RU,Battle Armor,Sniper,Keen Eye,61.5,80,2 Def,204,Purple,,Neutral,Bug,Water 3,45,1250000,Lv. 40,,,128,
472,453,Croagunk,48,61,40,61,40,50,300,Poison,Fighting,NU,Anticipate,Dry Skin,Poison Touch,23,40,1 Atk,83,Blue,2560,Neutral,Human-Like,,140,1000000,,,,129,
473,454,Toxicroak,83,106,65,86,65,85,490,Poison,Fighting,OU,Anticipate,Dry Skin,Poison Touch,44.4,60,2 Atk,181,Blue,,Neutral,Human-Like,,75,1000000,Lv. 37,,,130,
474,455,Carnivine,74,100,72,90,72,46,454,Grass,,NU,Levitate,,,27,60,2 Atk,164,Green,6400,Neutral,Grass,,200,1250000,N,,,131,
475,456,Finneon,49,49,56,49,61,66,330,Water,,NU,Swift Swim,Storm Drain,Water Veil,7,20,1 Spe,90,Blue,5120,Neutral,Water 2,,190,600000,,,,134,
476,457,Lumineon,69,69,76,69,86,91,460,Water,,NU,Swift Swim,Storm Drain,Water Veil,24,40,2 Spe,156,Blue,,Neutral,Water 2,,75,600000,Lv. 31,,,135,
257,458,Mantyke,45,20,50,60,120,50,345,Water,Flying,NU,Swift Swim,Water Absorb,,65,80,1 SpD,108,Blue,6400,Neutral,-,,25,1250000,,,,140,
477,459,Snover,60,62,50,62,60,40,334,Ice,Grass,RU,Snow Warning,,Soundproof,50.5,80,1 Atk,131,White,5120,Neutral,Monster,Grass,120,1250000,,,,142,
478,460,Abomasnow,90,92,75,92,85,60,494,Ice,Grass,UU,Snow Warning,,Soundproof,135.5,100,1 Atk/1 SpA,214,White,,Neutral,Monster,Grass,60,1250000,Lv. 40,,,143,
245,461,Weavile,70,120,65,45,85,125,510,Dark,Ice,UU,Pressure,,Pickpocket,34,60,1 Atk/1 Spe,199,Black,,Neutral,Field,,45,1059860,Nite Level h/ Razor Claw,,,145,
90,462,Magnezone,70,70,115,130,90,60,535,Electric,Steel,OU,Magnet Pull,Sturdy,Analytic,180,100,3 SpA,211,Gray,,None,Mineral,,30,1000000,Level a/ Mt. Coronet,,,180,
120,463,Lickilicky,110,85,95,80,95,50,515,Normal,,NU,Own Tempo,Oblivious,Cloud Nine,140,100,3 HP,193,Pink,,Neutral,Monster,,30,1000000,Level w/ Rollout,,,162,
125,464,Rhyperior,115,140,130,55,55,40,535,Ground,Rock,RU,Lightningrod,Solid Rock,Reckless,282.8,120,3 Atk,217,Gray,,Neutral,Monster,Field,30,1250000,Trade h/ Protector,,,188,
130,465,Tangrowth,100,100,125,110,50,50,535,Grass,,UU,Chlorophyll,Leaf Guard,Regenerator,128.6,100,2 Def,211,Blue,,Neutral,Grass,,30,1000000,Level w/ Ancientpower,,,182,
147,466,Electivire,75,123,67,95,85,95,540,Electric,,RU,Motor Drive,,Vital Spirit,138.6,100,3 Atk,199,Yellow,,M (75%),Human-Like,,30,1000000,Trade h/ Electrizer,,,199,
150,467,Magmortar,75,95,67,125,95,83,540,Fire,,NU,Flame Body,,Vital Spirit,68,80,3 SpA,199,Red,,M (75%),Human-Like,,30,1000000,Trade h/ Magmarizer,,,202,
204,468,Togekiss,85,50,95,120,115,80,545,Normal,Flying,UU,Hustle,Serene Grace,Super Luck,38,60,2 SpA/1 SpD,220,White,,M (87.5%),Flying,Fairy,30,800000,Shiny Stone,,,175,
223,469,Yanmega,86,76,86,116,56,95,515,Bug,Flying,RU,Speed Boost,Tinted Lens,Frisk,51.5,80,2 Atk,198,Green,,Neutral,Bug,,30,1000000,Level w/ Ancientpower,,,184,
163,470,Leafeon,65,110,130,60,65,95,525,Grass,,NU,Leaf Guard,,Chlorophyll,25.5,60,2 Def,196,Green,,M (87.5%),Field,,45,1000000,Level a/ Moss Rock,,,169,
164,471,Glaceon,65,60,110,130,95,65,525,Ice,,NU,Snow Cloak,,Ice Body,25.9,60,2 SpA,196,Blue,,M (87.5%),Field,,45,1000000,Level a/ Ice Rock,,,170,
238,472,Gliscor,75,95,125,45,75,95,510,Ground,Flying,OU,Hyper Cutter,Sand Veil,Poison Heal,42.5,60,2 Def,192,Purple,,Neutral,Bug,,30,1059860,Nite Level h/ Razor Fang,,,154,
252,473,Mamoswine,110,130,80,70,60,80,530,Ice,Ground,UU,Oblivious,Snow Cloak,Thick Fat,291,120,3 Atk,207,Brown,,Neutral,Field,,50,1250000,Level w/ Ancientpower,,,205,
167,474,Porygon-Z,85,80,70,135,75,90,535,Normal,,RU,Adaptability,Download,Analytic,34,60,3 SpA,185,Red,,None,Mineral,,30,1000000,Trade w/ Dubious Disc,,,194,
307,475,Gallade,68,125,65,65,115,80,518,Psychic,Fighting,RU,Steadfast,,Justified,52,80,3 Atk,208,White,,M (100%),Amorphous,,45,1250000,Dawn StoneM,,,160,
324,476,Probopass,60,55,145,75,150,40,525,Rock,Steel,NU,Sturdy,Magnet Pull,Sand Force,340,120,1 Def/2 SpD,198,Gray,,Neutral,Mineral,,60,1000000,Level a/ Mt. Coronet,,,156,
384,477,Dusknoir,45,100,135,65,135,45,525,Ghost,,RU,Pressure,,,106.6,100,1 Def/2 SpD,210,Black,,Neutral,Amorphous,,45,800000,Trade w/ Reaper Cloth,,,191,
391,478,Froslass,70,80,70,80,70,110,480,Ice,Ghost,UU,Snow Cloak,,Cursed Body,26.6,60,2 Spe,187,White,,F (100%),Fairy,Mineral,75,1000000,Dawn StoneF,,,208,
479,479,Rotom,50,50,77,95,77,91,440,Electric,Ghost,NU,Levitate,,,0.3,20,1 SpA/1 Spe,132,Red,5120,None,Amorphous,,45,1000000,N,,,152,
479.1,479.1,Rotom (Heat),50,65,107,105,107,86,520,Electric,Fire,UU,Levitate,,,0.3,20,1 SpA/1 Spe,132,Red,,None,Amorphous,,45,1000000,N,,,152.1,
479.2,479.2,Rotom (Wash),50,65,107,105,107,86,520,Electric,Water,OU,Levitate,,,0.3,20,1 SpA/1 Spe,132,Red,,None,Amorphous,,45,1000000,N,,,152.2,
479.3,479.3,Rotom (Frost),50,65,107,105,107,86,520,Electric,Ice,NU,Levitate,,,0.3,20,1 SpA/1 Spe,132,Red,,None,Amorphous,,45,1000000,N,,,152.3,
479.4,479.4,Rotom (Spin),50,65,107,105,107,86,520,Electric,Flying,NU,Levitate,,,0.3,20,1 SpA/1 Spe,132,Red,,None,Amorphous,,45,1000000,N,,,152.4,
479.5,479.5,Rotom (Cut),50,65,107,105,107,86,520,Electric,Grass,RU,Levitate,,,0.3,20,1 SpA/1 Spe,132,Red,,None,Amorphous,,45,1000000,N,,,152.5,
480,480,Uxie,75,75,130,75,130,95,580,Psychic,,RU,Levitate,,,0.3,20,2 Def/1 SpD,210,Yellow,NONE,None,-,,3,1250000,N,,,146,
481,481,Mesprit,80,105,105,105,105,80,580,Psychic,,NU,Levitate,,,0.3,20,1 Atk/1 SpA/1 SpD,210,Pink,NONE,None,-,,3,1250000,N,,,147,
482,482,Azelf,75,125,70,125,70,115,580,Psychic,,UU,Levitate,,,0.3,20,2 Atk/1 SpA,210,Blue,NONE,None,-,,3,1250000,N,,,148,
483,483,Dialga,100,120,120,150,100,90,680,Steel,Dragon,Uber,Pressure,,Telepathy,683,120,3 SpA,220,White,NONE,None,-,,30,1250000,N,,,149,
484,484,Palkia,90,120,100,150,120,100,680,Water,Dragon,Uber,Pressure,,Telepathy,336,120,3 SpA,220,Purple,NONE,None,-,,30,1250000,N,,,150,
485,485,Heatran,91,90,106,130,106,77,600,Fire,Steel,OU,Flash Fire,,Flame Body,430,120,3 SpA,215,Brown,NONE,Neutral,-,,3,1250000,N,,,,
486,486,Regigigas,110,160,110,80,110,100,670,Normal,,NU,Slow Start,,,420,120,3 Atk,220,White,NONE,None,-,,3,1250000,N,,,,
487,487,Giratina,150,100,120,100,120,90,680,Ghost,Dragon,Uber,Pressure,,Telepathy,750,120,3 HP,220,Black,NONE,None,-,,3,1250000,N,,,210,
487.1,487.1,Giratina (O),150,120,100,120,100,90,680,Ghost,Dragon,Uber,Levitate,,,650,120,3 HP,220,Black,NONE,None,-,,3,1250000,N,,,210.1,
488,488,Cresselia,120,70,120,75,130,85,600,Psychic,,RU,Levitate,,,85.6,80,3 SpD,210,Yellow,NONE,F (100%),-,,3,1250000,N,,,,
489,489,Phione,80,80,80,80,80,80,480,Water,,NU,Hydration,,,3.1,20,1 HP,165,Blue,NONE,None,-,,30,1250000,N,,,,
490,490,Manaphy,100,100,100,100,100,100,600,Water,,Uber,Hydration,,,1.4,20,3 HP,215,Blue,NONE,None,-,,3,1250000,N,,,151,
491,491,Darkrai,70,90,90,135,90,125,600,Dark,,Uber,Bad Dreams,,,50.5,80,1 Spe/2 SpA,210,Black,NONE,None,-,,3,1250000,N,,,,
492,492,Shaymin,100,100,100,100,100,100,600,Grass,,UU,Natural Cure,,,2.1,20,3 HP,64,Green,NONE,None,-,,45,1059860,N,,,,
492.1,492.1,Shaymin (S),100,103,75,120,75,127,600,Grass,Flying,Uber,Serene Grace,,,5.2,20,3 HP,64,Green,NONE,None,-,,45,1059860,N,,,,
493,493,Arceus,120,120,120,120,120,120,720,Normal,,Uber,Multitype,,,320,120,3 HP,255,Gray,NONE,None,-,,3,1250000,N,,,,
494,494,Victini,100,100,100,100,100,100,600,Psychic,Fire,UU,Victory Star,,,4,20,3 HP,270,Yellow,NONE,None,-,,3,1250000,N,,,,0
495,495,Snivy,45,45,55,45,55,63,308,Grass,,NU,Overgrow,,Contrary,8.1,40,1 Spe,28,Green,5120,M (87.5%),Field,Grass,45,1059860,,,,,1
496,496,Servine,60,60,75,60,75,83,413,Grass,,NU,Overgrow,,Contrary,16,40,2 Spe,145,Green,,M (87.5%),Field,Grass,45,1059860,Lv. 17,,,,2
497,497,Serperior,75,75,95,75,95,113,528,Grass,,NU,Overgrow,,Contrary,63,80,3 Spe,238,Green,,M (87.5%),Field,Grass,45,1059860,Lv. 36,,,,3
498,498,Tepig,65,63,45,45,45,45,308,Fire,,NU,Blaze,,Thick Fat,9.9,20,1 HP,28,Red,5120,M (87.5%),Field,,45,1059860,,,,,4
499,499,Pignite,90,93,55,70,55,55,418,Fire,Fighting,NU,Blaze,,Thick Fat,55.5,80,2 Atk,146,Red,,M (87.5%),Field,,45,1059860,Lv. 17,,,,5
500,500,Emboar,110,123,65,100,65,65,528,Fire,Fighting,NU,Blaze,,Reckless,150,100,3 Atk,238,Red,,M (87.5%),Field,,45,1059860,Lv. 36,,,,6
501,501,Oshawott,55,55,45,63,45,45,308,Water,,NU,Torrent,,Shell Armor,5.9,20,1 SpA,28,Blue,5120,M (87.5%),Field,,45,1059860,,,,,7
502,502,Dewott,75,75,60,83,60,60,413,Water,,NU,Torrent,,Shell Armor,24.5,40,2 SpA,145,Blue,,M (87.5%),Field,,45,1059860,Lv. 17,,,,8
503,503,Samurott,95,100,85,108,70,70,528,Water,,NU,Torrent,,Shell Armor,94.6,80,3 SpA,238,Blue,,M (87.5%),Field,,45,1059860,Lv. 36,,,,9
504,504,Patrat,45,55,39,35,39,42,255,Normal,,NU,Run Away,Keen Eye,Analytic,11.6,40,1 Atk,51,Brown,3840,Neutral,Field,,255,1000000,,,,,10
505,505,Watchog,60,85,69,60,69,77,420,Normal,,NU,Illuminate,Keen Eye,Analytic,27,60,1 Atk,147,Brown,,Neutral,Field,,255,1000000,Lv. 20,,,,11
506,506,Lillipup,45,60,45,25,45,55,275,Normal,,NU,Vital Spirit,Pickup,Run Away,4.1,20,1 Atk,55,Brown,3840,Neutral,Field,,255,1059860,,,,,12
507,507,Herdier,65,80,65,35,65,60,370,Normal,,NU,Intimidate,Sand Rush,Scrappy,14.7,40,2 Atk,130,Gray,,Neutral,Field,,120,1059860,Lv. 16,,,,13
508,508,Stoutland,85,100,90,45,90,80,490,Normal,,NU,Intimidate,Sand Rush,Scrappy,61,80,3 Atk,221,Gray,,Neutral,Field,,45,1059860,Lv. 32,,,,14
509,509,Purrloin,41,50,37,50,37,66,281,Dark,,NU,Limber,Unburden,Prankster,10.1,40,1 Spe,56,Purple,5120,Neutral,Field,,255,1000000,,,,,15
510,510,Liepard,64,88,50,88,50,106,446,Dark,,NU,Limber,Unburden,Prankster,37.5,60,2 Spe,156,Purple,,Neutral,Field,,90,1000000,Lv. 20,,,,16
511,511,Pansage,50,53,48,53,48,64,316,Grass,,NU,Gluttony,,Overgrow,10.5,40,1 Spe,63,Green,5120,M (87.5%),Field,,190,1000000,,,,,17
512,512,Simisage,75,98,63,98,63,101,498,Grass,,NU,Gluttony,,Overgrow,30.5,60,2 Spe,174,Green,,M (87.5%),Field,,75,1000000,Leaf Stone,,,,18
513,513,Pansear,50,53,48,53,48,64,316,Fire,,NU,Gluttony,,Blaze,11,40,1 Spe,63,Red,5120,M (87.5%),Field,,190,1000000,,,,,19
514,514,Simisear,75,98,63,98,63,101,498,Fire,,NU,Gluttony,,Blaze,28,60,2 Spe,174,Red,,M (87.5%),Field,,75,1000000,Fire Stone,,,,20
515,515,Panpour,50,53,48,53,48,64,316,Water,,NU,Gluttony,,Torrent,13.5,40,1 Spe,63,Blue,5120,M (87.5%),Field,,190,1000000,,,,,21
516,516,Simipour,75,98,63,98,63,101,498,Water,,NU,Gluttony,,Torrent,29,60,2 Spe,174,Blue,,M (87.5%),Field,,75,1000000,Water Stone,,,,22
517,517,Munna,76,25,45,67,55,24,292,Psychic,,NU,Forewarn,Synchronize,Telepathy,23.3,40,1 HP,58,Pink,2560,Neutral,Field,,190,800000,,,,,23
518,518,Musharna,116,55,85,107,95,29,487,Psychic,,NU,Forewarn,Synchronize,Telepathy,60.5,80,2 HP,170,Pink,,Neutral,Field,,75,800000,Moon Stone,,,,24
519,519,Pidove,50,55,50,36,30,43,264,Normal,Flying,NU,Big Pecks,Super Luck,Rivalry,2.1,20,1 Atk,53,Gray,3840,Neutral,Flying,,255,1059860,,,,,25
520,520,Tranquill,62,77,62,50,42,65,358,Normal,Flying,NU,Big Pecks,Super Luck,Rivalry,15,40,2 Atk,125,Gray,,Neutral,Flying,,120,1059860,Lv. 21,,,,26
521,521,Unfezant,80,105,80,65,55,93,478,Normal,Flying,NU,Big Pecks,Super Luck,Rivalry,29,60,3 Atk,215,Gray,,Neutral,Flying,,45,1059860,Lv. 32,,,,27
522,522,Blitzle,45,60,32,50,32,76,295,Electric,,NU,Lightningrod,Motor Drive,Sap Sipper,29.8,60,1 Spe,59,Black,5120,Neutral,Field,,190,1000000,,,,,28
523,523,Zebstrika,75,100,63,80,63,116,497,Electric,,NU,Lightningrod,Motor Drive,Sap Sipper,79.5,80,2 Spe,174,Black,,Neutral,Field,,75,1000000,Lv. 27,,,,29
524,524,Roggenrola,55,75,85,25,25,15,280,Rock,,NU,Sturdy,,Sand Force,18,40,1 Def,56,Blue,3840,Neutral,Mineral,,255,1059860,,,,,30
525,525,Boldore,70,105,105,50,40,20,390,Rock,,NU,Sturdy,,Sand Force,102,100,1 Atk/1 Def,137,Blue,,Neutral,Mineral,,120,1059860,Lv. 25,,,,31
526,526,Gigalith,85,135,130,60,70,25,505,Rock,,NU,Sturdy,,Sand Force,260,120,3 Atk,227,Blue,,Neutral,Mineral,,45,1059860,Trade,,,,32
527,527,Woobat,55,45,43,55,43,72,313,Psychic,Flying,NU,Unaware,Klutz,Simple,2.1,20,1 Spe,63,Blue,3840,Neutral,Field,Flying,190,1000000,,,,,33
528,528,Swoobat,67,57,55,77,55,114,425,Psychic,Flying,NU,Unaware,Klutz,Simple,10.5,40,2 Spe,149,Blue,,Neutral,Field,Flying,45,1000000,Friendship,,,,34
529,529,Drilbur,60,85,40,30,45,68,328,Ground,,NU,Sand Rush,Sand Force,Mold Breaker,8.5,20,1 Atk,66,Gray,5120,Neutral,Field,,120,1000000,,,,,35
530,530,Excadrill,110,135,60,50,65,88,508,Ground,Steel,OU,Sand Rush,Sand Force,Mold Breaker,40.4,60,2 Atk,178,Gray,,Neutral,Field,,60,1000000,Lv. 31,,,,36
531,531,Audino,103,60,86,60,86,50,445,Normal,,NU,Healer,Regenerator,Klutz,31,60,2 HP,390,Pink,5120,Neutral,Fairy,,255,800000,N,,,,37
532,532,Timburr,75,80,55,25,35,35,305,Fighting,,NU,Guts,Sheer Force,Iron Fist,12.5,40,1 Atk,61,Gray,5120,M (75%),Human-Like,,180,1059860,,,,,38
533,533,Gurdurr,85,105,85,40,50,40,405,Fighting,,NU,Guts,Sheer Force,Iron Fist,40,60,2 Atk,142,Gray,,M (75%),Human-Like,,90,1059860,Lv. 25,,,,39
534,534,Conkeldurr,105,140,95,55,65,45,505,Fighting,,OU,Guts,Sheer Force,Iron Fist,87,80,3 Atk,227,Brown,,M (75%),Human-Like,,45,1059860,Trade,,,,40
535,535,Tympole,50,50,40,50,40,64,294,Water,,NU,Swift Swim,Hydration,Water Absorb,4.5,20,1 Spe,59,Blue,5120,Neutral,Water 1,,255,1059860,,,,,41
536,536,Palpitoad,75,65,55,65,55,69,384,Water,Ground,NU,Swift Swim,Hydration,Water Absorb,17,40,2 HP,134,Blue,,Neutral,Water 1,,120,1059860,Lv. 25,,,,42
537,537,Seismitoad,105,85,75,85,75,74,499,Water,Ground,NU,Swift Swim,Poison Touch,Water Absorb,62,80,3 HP,225,Blue,,Neutral,Water 1,,45,1059860,Lv. 36,,,,43
538,538,Throh,120,100,85,30,85,45,465,Fighting,,NU,Guts,Inner Focus,Mold Breaker,55.5,80,2 HP,163,Red,5120,M (100%),Human-Like,,45,1000000,,,,,44
539,539,Sawk,75,125,75,30,75,85,465,Fighting,,NU,Sturdy,Inner Focus,Mold Breaker,51,80,2 Atk,163,Blue,5120,M (100%),Human-Like,,45,1000000,,,,,45
540,540,Sewaddle,45,53,70,40,60,42,310,Bug,Grass,NU,Swarm,Chlorophyll,Overcoat,2.5,20,1 Def,62,Yellow,3840,Neutral,Bug,,255,1059860,,,,,46
541,541,Swadloon,55,63,90,50,80,42,380,Bug,Grass,NU,Leaf Guard,Chlorophyll,Overcoat,7.3,20,2 Def,133,Green,,Neutral,Bug,,120,1059860,Lv. 20,,,,47
542,542,Leavanny,75,103,80,70,70,92,490,Bug,Grass,NU,Swarm,Chlorophyll,Overcoat,20.5,40,3 Atk,221,Yellow,,Neutral,Bug,,45,1059860,Friendship,,,,48
543,543,Venipede,30,45,59,30,39,57,260,Bug,Poison,NU,Poison Point,Swarm,Quick Feet,5.3,20,1 Def,52,Red,3840,Neutral,Bug,,255,1059860,,,,,49
544,544,Whirlipede,40,55,99,40,79,47,360,Bug,Poison,NU,Poison Point,Swarm,Quick Feet,58.5,80,2 Def,126,Gray,,Neutral,Bug,,120,1059860,Lv. 22,,,,50
545,545,Scolipede,60,90,89,55,69,112,475,Bug,Poison,RU,Poison Point,Swarm,Quick Feet,200.5,120,3 Spe,214,Red,,Neutral,Bug,,45,1059860,Lv. 30,,,,51
546,546,Cottonee,40,27,60,37,50,66,280,Grass,,NU,Prankster,Infiltrator,Chlorophyll,0.6,20,1 Spe,56,Green,5120,Neutral,Grass,Fairy,190,1000000,,,,,52
547,547,Whimsicott,60,67,85,77,75,116,480,Grass,,OU,Prankster,Infiltrator,Chlorophyll,6.6,20,2 Spe,168,Green,,Neutral,Grass,Fairy,75,1000000,Sun Stone,,,,53
548,548,Petilil,45,35,50,70,50,30,280,Grass,,NU,Chlorophyll,Own Tempo,Leaf Guard,6.6,20,1 SpA,56,Green,5120,F (100%),Grass,,190,1000000,,,,,54
549,549,Lilligant,70,60,75,110,75,90,480,Grass,,RU,Chlorophyll,Own Tempo,Leaf Guard,16.3,40,2 SpA,168,Green,,F (100%),Grass,,75,1000000,Sun Stone,,,,55
550,550,Basculin,70,92,65,80,55,98,460,Water,,NU,Reckless,Adaptability,Mold Breaker,18,40,2 Spe,161,Green,10240,Neutral,Water 2,,25,1000000,N,,,,56
551,551,Sandile,50,72,35,35,35,65,292,Ground,Dark,NU,Intimidate,Moxie,Anger Point,15.2,40,1 Atk,58,Brown,5120,Neutral,Field,,180,1059860,,,,,57
552,552,Krokorok,60,82,45,45,45,74,351,Ground,Dark,NU,Intimidate,Moxie,Anger Point,33.4,60,2 Atk,123,Brown,,Neutral,Field,,90,1059860,Lv. 29,,,,58
553,553,Krookodile,95,117,70,65,70,92,509,Ground,Dark,RU,Intimidate,Moxie,Anger Point,96.3,80,3 Atk,229,Red,,Neutral,Field,,45,1059860,Lv. 40,,,,59
554,554,Darumaka,70,90,45,15,45,50,315,Fire,,NU,Hustle,,Inner Focus,37.5,60,1 Atk,63,Red,5120,Neutral,Field,,120,1059860,,,,,60
555,555,Darmanitan,105,140,55,30,55,95,480,Fire,,OU,Sheer Force,,Zen Mode,92.9,80,2 Atk,168,Red,,Neutral,Field,,60,1059860,Lv. 35,,,,61
555.1,555.1,Darmanitan (Z),105,30,105,140,105,55,540,Fire,Psychic,OU,,,Zen Mode,92.9,80,2 Atk,189,Red,,Neutral,Field,,60,1059860,,,,,61.1
556,556,Maractus,75,86,67,106,67,60,461,Grass,,NU,Water Absorb,Chlorophyll,Storm Drain,28,60,2 SpA,161,Green,5120,Neutral,Grass,,255,1000000,N,,,,62
557,557,Dwebble,50,65,85,35,35,55,325,Bug,Rock,NU,Sturdy,Shell Armor,Weak Armor,14.5,40,1 Def,65,Red,5120,Neutral,Bug,Mineral,190,1000000,,,,,63
558,558,Crustle,70,95,125,65,75,45,475,Bug,Rock,RU,Sturdy,Shell Armor,Weak Armor,200,120,2 Def,166,Red,,Neutral,Bug,Mineral,75,1000000,Lv. 34,,,,64
559,559,Scraggy,50,75,70,35,70,48,348,Dark,Fighting,NU,Shed Skin,Moxie,Intimidate,11.8,40,1 Atk,70,Yellow,3840,Neutral,Field,Dragon,180,1000000,,,,,65
560,560,Scrafty,65,90,115,45,115,58,488,Dark,Fighting,OU,Shed Skin,Moxie,Intimidate,30,60,1 Def/1 SpD,171,Red,,Neutral,Field,Dragon,90,1000000,,,,,66
561,561,Sigilyph,72,58,80,103,80,97,490,Psychic,Flying,UU,Wonder Skin,Magic Guard,Tinted Lens,14,40,2 SpA,172,Black,5120,Neutral,Flying,,45,1000000,,,,,67
562,562,Yamask,38,30,85,55,65,30,303,Ghost,,NU,Mummy,,,1.5,20,1 Def,61,Black,6400,Neutral,Mineral,Amorphous,190,1000000,,,,,68
563,563,Cofagrigus,58,50,145,95,105,30,483,Ghost,,RU,Mummy,,,76.5,80,2 Def,169,Yellow,,Neutral,Mineral,Amorphous,90,1000000,Lv. 34,,,,69
564,564,Tirtouga,54,78,103,53,45,22,355,Water,Rock,NU,Solid Rock,Sturdy,Swift Swim,16.5,40,1 Def,71,Blue,7680,M (87.5%),Water 1,Water 3,45,1000000,,,,,70
565,565,Carracosta,74,108,133,83,65,32,495,Water,Rock,NU,Solid Rock,Sturdy,Swift Swim,81,80,2 Def,173,Blue,,M (87.5%),Water 1,Water 3,45,1000000,Lv. 37,,,,71
566,566,Archen,55,112,45,74,45,70,401,Rock,Flying,NU,Defeatist,,,9.5,20,1 Atk,71,Yellow,7680,M (87.5%),Flying,Water 3,45,1000000,,,,,72
567,567,Archeops,75,140,65,112,65,110,567,Rock,Flying,NU,Defeatist,,,32,60,2 Atk,177,Yellow,,M (87.5%),Flying,Water 3,45,1000000,Lv. 37,,,,73
568,568,Trubbish,50,50,62,40,62,65,329,Poison,,NU,Stench,Sticky Hold,Aftermath,31,60,1 Spe,66,Green,5120,Neutral,Mineral,,190,1000000,,,,,74
569,569,Garbodor,80,95,92,60,82,75,484,Poison,,NU,Stench,Weak Armor,Aftermath,107.3,100,2 Atk,166,Green,,Neutral,Mineral,,60,1000000,Lv. 36,,,,75
